timestamp client type operation execTime success
1578164872 2 reader read 44 true
1578164872 1 reader read 53 true
1578164872 4 read_write read 56 true
1578164872 3 writer write 58 true
1578164872 4 read_write write 18 true
1578164873 2 reader read 9 true
1578164873 1 reader read 12 true
1578164873 3 writer write 27 true
1578164873 4 read_write read 18 true
1578164873 4 read_write write 19 true
1578164874 2 reader read 9 true
1578164874 1 reader read 9 true
1578164874 3 writer write 17 true
1578164874 4 read_write read 9 true
1578164874 4 read_write write 24 true
1578164875 2 reader read 8 true
1578164875 1 reader read 11 true
1578164875 3 writer write 17 true
1578164875 4 read_write read 7 true
1578164875 4 read_write write 17 true
1578164876 2 reader read 7 true
1578164876 1 reader read 6 true
1578164876 3 writer write 15 true
1578164876 4 read_write read 7 true
1578164876 4 read_write write 15 true
1578164877 2 reader read 8 true
1578164877 1 reader read 6 true
1578164877 3 writer write 14 true
1578164877 4 read_write read 8 true
1578164877 4 read_write write 16 true
1578164878 2 reader read 7 true
1578164878 1 reader read 6 true
1578164878 3 writer write 15 true
1578164878 4 read_write read 7 true
1578164879 4 read_write write 16 true
1578164879 2 reader read 7 true
1578164879 1 reader read 6 true
1578164879 3 writer write 13 true
1578164880 4 read_write read 10 true
1578164880 4 read_write write 27 true
1578164880 2 reader read 65 true
1578164880 1 reader read 54 true
1578164880 3 writer write 17 true
1578164881 4 read_write read 10 true
1578164881 4 read_write write 16 true
1578164881 1 reader read 7 true
1578164881 2 reader read 8 true
1578164881 3 writer write 19 true
1578164882 4 read_write read 7 true
1578164882 4 read_write write 26 true
1578164882 2 reader read 7 true
1578164882 1 reader read 7 true
1578164882 3 writer write 18 true
1578164883 4 read_write read 8 true
1578164883 4 read_write write 15 true
1578164883 2 reader read 8 true
1578164883 1 reader read 12 true
1578164884 3 writer write 15 true
1578164884 4 read_write read 7 true
1578164884 4 read_write write 16 true
1578164884 2 reader read 6 true
1578164884 1 reader read 7 true
1578164885 3 writer write 14 true
1578164885 4 read_write read 7 true
1578164885 4 read_write write 14 true
1578164885 2 reader read 6 true
1578164885 1 reader read 7 true
1578164886 3 writer write 13 true
1578164886 4 read_write read 7 true
1578164886 4 read_write write 15 true
1578164887 1 reader read 6 true
1578164887 2 reader read 8 true
1578164887 3 writer write 15 true
1578164887 4 read_write read 6 true
1578164887 4 read_write write 16 true
1578164888 2 reader read 7 true
1578164888 1 reader read 7 true
1578164888 3 writer write 13 true
1578164888 4 read_write read 6 true
1578164888 4 read_write write 17 true
1578164889 2 reader read 10 true
1578164889 1 reader read 16 true
1578164889 3 writer write 12 true
1578164889 4 read_write read 7 true
1578164889 4 read_write write 15 true
1578164890 2 reader read 6 true
1578164890 1 reader read 7 true
1578164890 3 writer write 15 true
1578164890 4 read_write read 6 true
1578164890 4 read_write write 17 true
1578164891 1 reader read 6 true
1578164891 2 reader read 6 true
1578164891 3 writer write 13 true
1578164891 4 read_write read 6 true
1578164891 4 read_write write 12 true
1578164892 2 reader read 6 true
1578164892 1 reader read 6 true
1578164892 3 writer write 13 true
1578164892 4 read_write read 5 true
1578164892 4 read_write write 12 true
1578164893 1 reader read 7 true
1578164893 2 reader read 9 true
1578164893 3 writer write 12 true
1578164893 4 read_write read 5 true
1578164893 4 read_write write 12 true
1578164894 2 reader read 6 true
1578164894 1 reader read 6 true
1578164894 3 writer write 13 true
1578164894 4 read_write read 5 true
1578164894 4 read_write write 13 true
1578164895 1 reader read 6 true
1578164895 2 reader read 7 true
1578164895 3 writer write 12 true
1578164895 4 read_write read 6 true
1578164895 4 read_write write 15 true
1578164896 1 reader read 6 true
1578164896 2 reader read 7 true
1578164896 3 writer write 12 true
1578164896 4 read_write read 5 true
1578164896 4 read_write write 17 true
1578164897 2 reader read 8 true
1578164897 1 reader read 9 true
1578164897 3 writer write 12 true
1578164897 4 read_write read 7 true
1578164897 4 read_write write 16 true
1578164898 1 reader read 6 true
1578164898 2 reader read 7 true
1578164898 3 writer write 13 true
1578164898 4 read_write read 7 true
1578164898 4 read_write write 16 true
1578164899 1 reader read 5 true
1578164899 2 reader read 8 true
1578164899 3 writer write 12 true
1578164899 4 read_write read 6 true
1578164899 4 read_write write 17 true
1578164900 1 reader read 6 true
1578164900 2 reader read 7 true
1578164900 3 writer write 13 true
1578164900 4 read_write read 6 true
1578164900 4 read_write write 16 true
1578164901 2 reader read 6 true
1578164901 1 reader read 6 true
1578164901 3 writer write 13 true
1578164901 4 read_write read 6 true
